ros_time_s,Lecturas_Validas
1758472805.300985575,1.000000
1758472805.402041674,2.000000
1758472805.601416349,2.000000
1758472805.701767445,1.000000
1758472805.801640034,1.000000
1758472806.601099730,1.000000
1758472808.504694462,1.000000
1758472808.905543089,2.000000
1758472809.002650976,2.000000
1758472809.102489948,1.000000
1758472809.202723265,3.000000
1758472809.302976370,2.000000
1758472809.404329538,2.000000
1758472809.505033731,2.000000
1758472809.602037668,2.000000
1758472809.704725742,1.000000
1758472809.804734230,1.000000
1758472809.906397104,1.000000
1758472810.004737616,1.000000
1758472810.104361773,1.000000
1758472810.202590466,1.000000
1758472810.302674770,1.000000
1758472810.404300213,1.000000
1758472810.504918337,1.000000
1758472810.605267525,1.000000
1758472810.705023289,1.000000
1758472810.803257942,1.000000
1758472810.902945280,2.000000
1758472811.005370855,3.000000
1758472811.105101585,1.000000
1758472811.205400229,1.000000
1758472811.305298805,1.000000
1758472811.404626846,2.000000
1758472811.505773544,1.000000
1758472811.604205370,2.000000
1758472811.705759048,2.000000
1758472811.804941893,2.000000
1758472811.903285742,1.000000
1758472812.003392935,2.000000
1758472812.105021238,2.000000
1758472812.206130743,3.000000
1758472812.303453207,2.000000
1758472812.405509710,2.000000
1758472812.506576300,2.000000
1758472812.603695154,3.000000
1758472812.706309557,1.000000
1758472812.805521488,3.000000
1758472812.906222105,2.000000
1758472813.007683992,3.000000
1758472813.107388735,2.000000
1758472813.207431793,1.000000
1758472813.306014538,3.000000
1758472813.405319691,1.000000
1758472813.504813910,2.000000
1758472813.608008146,3.000000
1758472813.704163551,2.000000
1758472813.804043531,2.000000
1758472813.907397985,3.000000
1758472814.005121708,1.000000
1758472814.103550673,2.000000
1758472814.205453396,3.000000
1758472814.303805113,2.000000
1758472814.405117512,2.000000
1758472814.505891323,1.000000
1758472814.604328156,2.000000
1758472814.706622362,2.000000
1758472814.806545973,3.000000
1758472814.905736923,2.000000
1758472815.005678892,3.000000
1758472815.103561401,3.000000
1758472815.206194639,1.000000
1758472815.304988146,3.000000
1758472815.405015469,2.000000
1758472815.505339861,4.000000
1758472815.604557276,4.000000
1758472815.708149433,2.000000
1758472815.905903816,2.000000
1758472816.005241156,2.000000
1758472816.105906963,3.000000
1758472816.208683014,3.000000
1758472816.305737734,1.000000
1758472816.408395052,1.000000
1758472816.505912781,2.000000
1758472816.604396582,3.000000
1758472816.705106735,3.000000
1758472816.808052301,2.000000
1758472816.908563375,3.000000
1758472817.005738497,2.000000
1758472817.104105234,2.000000
1758472817.208246469,3.000000
1758472817.307796478,2.000000
1758472817.407996893,2.000000
1758472817.506051540,3.000000
1758472817.605398893,1.000000
1758472817.707461119,2.000000
1758472817.808609724,4.000000
1758472817.906348944,4.000000
1758472818.008059978,3.000000
1758472818.104618788,3.000000
1758472818.206129074,3.000000
1758472818.308887720,3.000000
1758472818.407377720,1.000000
1758472818.506171227,4.000000
1758472818.606032848,2.000000
1758472818.705522060,4.000000
1758472818.808448553,3.000000
1758472818.907832623,4.000000
1758472819.008179903,2.000000
1758472819.105996132,2.000000
1758472819.206549168,2.000000
1758472819.306605577,3.000000
1758472819.407896042,4.000000
1758472819.506926060,3.000000
1758472819.606353998,3.000000
1758472819.705745220,2.000000
1758472819.806695938,1.000000
1758472819.907924652,2.000000
1758472820.007520199,3.000000
1758472820.106120586,2.000000
1758472820.206635475,1.000000
1758472820.308443308,1.000000
1758472820.407346964,4.000000
1758472820.507228613,5.000000
1758472820.605616331,4.000000
1758472820.705171347,2.000000
1758472820.807281733,4.000000
1758472820.908450365,5.000000
1758472821.008152246,4.000000
1758472821.108176231,2.000000
1758472821.205691814,1.000000
1758472821.308783770,3.000000
1758472821.406584978,3.000000
1758472821.506954193,2.000000
1758472821.607263803,1.000000
1758472821.708357334,2.000000
1758472821.805814743,3.000000
1758472821.906868696,3.000000
1758472822.007343054,3.000000
1758472822.205849648,1.000000
1758472822.306376934,2.000000
1758472822.407519817,2.000000
1758472822.508636475,2.000000
1758472822.608879566,1.000000
1758472822.708567381,1.000000
1758472823.004329205,2.000000
1758472823.207722664,1.000000
1758472823.608016729,2.000000
1758472823.708604813,2.000000
1758472823.908838034,1.000000
1758472824.008356333,1.000000
1758472824.108705044,1.000000
1758472824.206643820,2.000000
1758472824.308682680,4.000000
1758472824.408256531,4.000000
1758472824.508251667,3.000000
1758472824.608299732,2.000000
1758472824.707157612,1.000000
1758472824.808332205,3.000000
1758472824.907330751,3.000000
1758472825.007582188,2.000000
1758472825.106237411,1.000000
1758472825.205487967,2.000000
1758472825.307541609,3.000000
1758472825.405650139,3.000000
1758472825.512926579,3.000000
1758472825.605804205,3.000000
1758472825.706182003,2.000000
1758472825.808203697,4.000000
1758472825.907217264,3.000000
1758472826.007724285,5.000000
1758472826.106893778,4.000000
1758472826.205288887,3.000000
1758472826.307848692,1.000000
1758472826.406364679,3.000000
1758472826.506363630,3.000000
1758472826.607372284,4.000000
1758472826.707119942,3.000000
1758472826.808130980,3.000000
1758472827.107592821,1.000000
1758472827.207625151,2.000000
1758472827.306712866,3.000000
1758472827.606111050,2.000000
1758472827.705145359,3.000000
1758472827.806420326,2.000000
1758472827.906651974,3.000000
1758472828.007514715,2.000000
1758472828.106318951,2.000000
1758472828.205451965,2.000000
1758472828.305933237,1.000000
1758472828.406548023,1.000000
1758472828.506994963,2.000000
1758472828.605783224,2.000000
1758472828.704702377,3.000000
1758472828.806700706,2.000000
1758472828.905930042,1.000000
1758472829.006353378,1.000000
1758472829.106750488,1.000000
1758472829.206472874,2.000000
1758472829.306416035,2.000000
1758472829.806320906,1.000000
1758472829.905954599,3.000000
1758472830.005947590,2.000000
1758472830.105748415,1.000000
1758472830.206330776,3.000000
1758472830.306448221,5.000000
1758472830.404261112,4.000000
1758472830.505842447,2.000000
1758472830.607980967,4.000000
1758472830.706964731,3.000000
1758472830.807010651,2.000000
1758472830.905770302,3.000000
1758472831.005510569,5.000000
1758472831.105174780,2.000000
1758472831.204531670,2.000000
1758472831.305653811,1.000000
1758472831.605275631,1.000000
1758472831.707628250,1.000000
1758472831.806014538,3.000000
1758472831.904711008,2.000000
1758472832.005708694,2.000000
1758472832.104203224,4.000000
1758472832.205682755,2.000000
1758472832.306221485,3.000000
1758472832.504244804,4.000000
1758472832.606433392,2.000000
1758472832.705876112,3.000000
1758472832.804931164,6.000000
1758472832.905814171,1.000000
1758472833.005211830,1.000000
1758472833.106167555,1.000000
1758472833.205261230,1.000000
1758472833.406595230,1.000000
1758472833.605464458,2.000000
1758472833.807471037,2.000000
1758472833.905468941,2.000000
1758472834.005148649,1.000000
1758472834.105622768,2.000000
1758472834.206396580,2.000000
1758472834.306808233,3.000000
1758472834.405037880,3.000000
1758472834.605693340,4.000000
1758472834.705258131,2.000000
1758472834.902137756,1.000000
1758472835.006117821,4.000000
1758472835.104949951,3.000000
1758472835.205484390,1.000000
1758472835.304376602,2.000000
1758472835.406208515,4.000000
1758472835.505636454,4.000000
1758472835.605449677,3.000000
