ros_time_s,Vel_Des
1757191767.495868206,"1.83,1.93"
1757191767.597492456,"1.93,1.90"
1757191767.695908308,"1.75,1.93"
1757191767.796654224,"1.76,1.93"
1757191767.895304203,"1.47,1.93"
1757191767.994431019,"1.61,1.93"
1757191768.095792294,"1.73,1.93"
1757191768.195792675,"1.60,1.93"
1757191768.298529863,"1.33,1.93"
1757191768.391890287,"0.67,1.96"
1757191768.494784355,"1.64,1.92"
1757191768.595545292,"1.89,1.93"
1757191768.695867062,"1.62,1.93"
1757191768.791758776,"0.67,1.94"
1757191768.893589258,"0.67,1.94"
1757191768.994758129,"1.39,1.93"
1757191769.090896130,"0.68,1.99"
1757191769.196469784,"0.88,1.93"
1757191769.294058561,"1.75,1.93"
1757191769.394923210,"1.40,1.93"
1757191769.494041204,"1.47,1.93"
1757191769.593135595,"0.67,1.95"
1757191769.696310043,"1.81,1.93"
1757191769.797939539,"1.92,1.93"
1757191769.894208670,"1.80,1.93"
1757191769.995684147,"1.78,1.93"
1757191770.095725060,"1.41,1.93"
1757191770.195590973,"1.82,1.93"
1757191770.294245958,"1.93,1.78"
1757191770.394028425,"1.93,1.75"
1757191770.494518995,"1.93,1.72"
1757191770.595740318,"1.93,1.24"
1757191770.696809769,"1.93,1.74"
1757191770.791666985,"1.98,0.68"
1757191770.893852711,"1.94,0.67"
1757191770.991671085,"2.00,0.68"
1757191771.091251850,"2.10,0.69"
1757191771.194929838,"1.72,1.93"
1757191771.295084238,"1.93,1.37"
1757191771.391367912,"2.12,0.68"
1757191771.495089769,"1.94,0.67"
1757191771.592343569,"2.25,0.67"
1757191771.690857887,"2.10,0.69"
1757191771.795643330,"1.96,0.67"
1757191771.890406609,"2.00,0.68"
1757191771.995719910,"0.00,2.00"
1757191771.998206139,"1.93,1.77"
1757191772.094011545,"0.00,2.00"
1757191772.096616030,"1.94,0.67"
1757191772.195542812,"1.93,1.35"
1757191772.294209242,"1.93,1.41"
1757191772.394900560,"1.96,0.67"
1757191772.497082710,"1.93,1.31"
1757191772.595163822,"0.00,2.00"
1757191772.597757339,"1.93,1.12"
1757191772.696614742,"0.00,2.00"
1757191772.699251890,"1.93,0.67"
1757191772.797562599,"1.88,1.93"
1757191772.896263361,"1.93,1.82"
1757191772.997303486,"1.79,1.93"
1757191773.095340967,"1.93,1.76"
1757191773.197112560,"1.83,1.93"
1757191773.296263695,"1.91,1.93"
1757191773.397673845,"1.93,1.86"
1757191773.496808767,"1.87,1.93"
1757191773.598217487,"1.93,1.84"
1757191773.696131945,"1.81,1.93"
1757191773.794692755,"1.52,1.93"
1757191773.896750689,"1.48,1.93"
1757191773.995692968,"1.45,1.93"
1757191774.094603062,"1.85,1.93"
1757191774.191772938,"1.56,1.93"
1757191774.290751696,"0.67,1.97"
1757191774.395221233,"0.67,1.94"
1757191774.495688438,"1.39,1.93"
1757191774.595506668,"1.43,1.93"
1757191774.696399689,"1.06,1.93"
1757191774.795513868,"1.39,1.93"
1757191774.898004770,"1.13,1.93"
1757191774.991587400,"0.67,1.96"
1757191775.092031717,"0.67,1.94"
1757191775.196403027,"1.48,1.93"
1757191775.294250250,"1.68,1.92"
1757191775.393940687,"0.67,1.95"
1757191775.494790554,"1.56,1.93"
1757191775.595794201,"1.66,1.92"
1757191775.692995548,"0.67,1.93"
1757191775.796055794,"1.71,1.92"
1757191775.896259546,"1.80,1.93"
1757191775.993992090,"1.69,1.92"
1757191776.096475840,"1.83,1.93"
1757191776.199369431,"1.75,1.93"
1757191776.293044329,"1.92,1.66"
1757191776.400316477,"1.93,1.91"
1757191776.498072386,"1.93,1.92"
1757191776.595241070,"1.92,1.67"
1757191776.695132494,"1.93,1.48"
1757191776.799968243,"1.93,1.88"
1757191776.895193338,"1.93,1.54"
1757191776.995766163,"1.93,1.84"
1757191777.095309019,"1.93,1.74"
1757191777.191611290,"1.93,1.46"
1757191777.296354055,"1.93,1.11"
1757191777.394876957,"1.93,1.61"
1757191777.494810581,"1.92,1.68"
1757191777.596285582,"1.93,1.48"
1757191777.694809198,"1.93,1.45"
1757191777.796609879,"1.93,1.49"
1757191777.895607233,"1.95,0.67"
1757191777.994075537,"1.93,1.18"
1757191778.092094660,"2.68,0.67"
1757191778.190414190,"2.06,0.69"
1757191778.292024136,"2.01,0.68"
1757191778.392194271,"2.83,0.67"
1757191778.491880417,"2.04,0.69"
1757191778.587783337,"2.83,0.67"
1757191778.687641382,"2.83,0.67"
1757191778.792800188,"2.01,0.68"
1757191778.888942003,"2.83,0.67"
1757191778.991589308,"0.00,2.00"
1757191778.994295597,"2.83,0.67"
1757191779.088776588,"0.00,2.00"
1757191779.091296911,"2.83,0.67"
1757191779.196152925,"0.00,2.00"
1757191779.198682308,"1.95,0.67"
1757191779.290186167,"2.83,0.67"
1757191779.392375708,"2.83,0.67"
1757191779.492095947,"2.83,0.67"
1757191779.590204954,"0.00,2.00"
1757191779.592851877,"2.10,0.69"
1757191779.693223715,"0.00,2.00"
1757191779.695773363,"2.05,0.69"
1757191779.796882391,"0.00,2.00"
1757191779.799419403,"1.93,1.03"
1757191779.884639978,"1.98,0.67"
1757191779.991964340,"1.98,0.68"
1757191780.092017651,"1.98,0.67"
1757191780.190707207,"0.00,2.00"
1757191780.193264484,"2.36,0.67"
1757191780.287407637,"0.00,2.00"
1757191780.289932728,"2.44,0.67"
1757191780.387693882,"2.83,0.67"
1757191780.490435839,"2.37,0.67"
1757191780.591461182,"2.24,0.67"
1757191780.687075615,"0.00,2.00"
1757191780.689663172,"1.97,0.67"
1757191780.789768457,"0.00,2.00"
1757191780.792294502,"2.83,0.67"
1757191780.891873121,"0.00,2.00"
1757191780.894397736,"2.13,0.68"
1757191780.991047621,"2.28,0.67"
1757191781.093983412,"1.93,1.63"
1757191781.195610285,"1.96,0.67"
1757191781.291254282,"2.31,0.67"
1757191781.388350248,"2.83,0.67"
1757191781.490319014,"0.00,2.00"
1757191781.492856741,"2.03,0.69"
1757191781.595863581,"0.00,2.00"
1757191781.598360538,"1.95,0.67"
1757191781.688583612,"0.00,2.00"
1757191781.691234112,"2.41,0.67"
1757191781.794248343,"1.95,0.67"
1757191781.895118475,"1.93,1.57"
1757191781.989131689,"2.11,0.68"
1757191782.094192743,"0.00,2.00"
1757191782.096701860,"1.96,0.67"
1757191782.196254253,"0.00,2.00"
1757191782.198742390,"1.93,1.84"
1757191782.297753334,"1.93,1.56"
1757191782.396011114,"1.93,1.12"
1757191782.494865656,"1.93,1.59"
1757191782.595729828,"1.92,1.70"
1757191782.694516659,"1.94,0.67"
1757191782.794521093,"0.00,2.00"
1757191782.797123671,"1.96,0.67"
1757191782.895766258,"0.00,2.00"
1757191782.898414850,"1.93,0.67"
1757191782.992478609,"1.95,0.67"
1757191783.096356153,"1.75,1.93"
1757191783.194421768,"1.92,1.69"
1757191783.295110464,"1.92,1.66"
1757191783.397575617,"1.93,1.83"
1757191783.496489763,"1.93,1.88"
1757191783.596884727,"1.90,1.93"
1757191783.695603609,"1.93,1.93"
1757191783.796979666,"1.93,1.93"
1757191783.893002272,"1.80,1.93"
1757191783.996864796,"1.74,1.93"
1757191784.094312668,"1.73,1.93"
1757191784.195561886,"1.80,1.93"
1757191784.295835018,"1.08,1.93"
1757191784.395813465,"1.41,1.93"
1757191784.494201660,"1.11,1.93"
1757191784.594934702,"1.13,1.93"
1757191784.693890095,"1.29,1.93"
1757191784.792856216,"1.40,1.93"
1757191784.894902945,"1.35,1.93"
1757191784.996006489,"1.34,1.93"
1757191785.094851494,"1.41,1.93"
1757191785.193874836,"1.20,1.93"
1757191785.293932199,"0.73,1.93"
1757191785.391919613,"0.67,1.95"
1757191785.492643595,"0.68,1.98"
1757191785.594729900,"1.59,1.93"
1757191785.694434404,"1.66,1.92"
1757191785.796658754,"1.84,1.93"
1757191785.894808054,"1.67,1.92"
1757191785.996340036,"1.80,1.93"
1757191786.095088482,"1.77,1.93"
1757191786.195140123,"1.92,1.71"
1757191786.295483589,"1.93,1.73"
1757191786.400122643,"1.93,1.90"
1757191786.495554447,"1.93,1.79"
1757191786.595694065,"1.93,1.38"
1757191786.693806410,"1.93,0.90"
1757191786.793897629,"1.93,1.53"
1757191786.895852089,"1.93,1.35"
1757191786.993365049,"1.92,1.68"
1757191787.090043306,"1.98,0.67"
1757191787.188248158,"2.83,0.67"
1757191787.290098429,"2.04,0.69"
1757191787.396908283,"1.93,1.31"
1757191787.494935751,"1.96,0.67"
1757191787.589298487,"2.31,0.67"
1757191787.689193487,"2.00,0.68"
1757191787.792480707,"1.93,1.45"
1757191787.889515877,"2.06,0.69"
1757191787.993428946,"0.00,2.00"
1757191787.996100664,"1.97,0.67"
1757191788.092677355,"0.00,2.00"
1757191788.095207214,"1.93,1.81"
1757191788.192330837,"1.93,1.56"
1757191788.292992592,"1.92,1.71"
1757191788.392502069,"1.96,0.67"
1757191788.495301008,"1.93,1.83"
1757191788.592779160,"0.00,2.00"
1757191788.595454216,"1.92,1.71"
1757191788.696345329,"1.93,1.90"
1757191788.792136669,"1.75,1.93"
1757191788.894648314,"1.93,1.84"
1757191788.996198177,"1.93,1.92"
