ros_time_s,Vel_Des
1757275195.249134064,"2.02,0.69"
1757275195.352982759,"0.00,2.00"
1757275195.355472088,"1.93,1.50"
1757275195.446994781,"0.00,2.00"
1757275195.449504852,"2.19,0.68"
1757275195.554048300,"0.00,2.00"
1757275195.556803226,"1.96,0.67"
1757275195.650303841,"1.98,0.67"
1757275195.753842115,"1.94,0.67"
1757275195.852284431,"1.95,0.67"
1757275195.953359127,"1.96,0.67"
1757275196.055002928,"1.93,0.74"
1757275196.150658131,"0.00,2.00"
1757275196.153267384,"2.02,0.68"
1757275196.247323990,"0.00,2.00"
1757275196.249927521,"2.22,0.67"
1757275196.349547863,"0.00,2.00"
1757275196.352073669,"1.99,0.68"
1757275196.445944071,"0.67,2.83"
1757275196.555924416,"1.93,1.55"
1757275196.654228687,"1.93,1.58"
1757275196.755342484,"1.93,1.72"
1757275196.855777979,"1.93,1.60"
1757275196.954547644,"1.93,1.79"
1757275197.055356741,"1.93,1.59"
1757275197.154776096,"1.93,1.87"
1757275197.253651619,"1.93,1.60"
1757275197.357205153,"1.92,1.68"
1757275197.457135439,"1.93,1.83"
1757275197.556618690,"1.67,1.92"
1757275197.656752110,"1.85,1.93"
1757275197.756556749,"1.62,1.93"
1757275197.852138758,"0.67,1.94"
1757275197.951727867,"0.68,2.12"
1757275198.056849003,"0.67,1.93"
1757275198.152503014,"0.67,1.95"
1757275198.250759840,"0.68,2.01"
1757275198.350925922,"0.67,2.83"
1757275198.449102640,"0.67,2.83"
1757275198.545165539,"0.67,2.83"
1757275198.650446415,"0.67,2.83"
1757275198.749065161,"0.67,2.83"
1757275198.846324682,"0.67,2.83"
1757275198.950754404,"0.67,2.83"
1757275199.048628330,"0.67,2.83"
1757275199.149139404,"0.67,2.83"
1757275199.249749422,"0.67,2.83"
1757275199.347733498,"0.67,2.83"
1757275199.449829102,"0.67,2.83"
1757275199.549437284,"0.67,2.83"
1757275199.652268648,"0.67,2.25"
1757275199.751105309,"0.67,2.23"
1757275199.847587585,"0.67,2.83"
1757275199.951664209,"0.67,2.83"
1757275200.048225164,"0.67,2.83"
1757275200.154407740,"0.67,1.97"
1757275200.246869802,"0.67,2.83"
1757275200.350758314,"0.67,2.83"
1757275200.455722570,"1.50,1.93"
1757275200.555557013,"1.67,1.92"
1757275200.652991295,"1.93,1.75"
1757275200.753546953,"0.67,1.96"
1757275200.858938932,"1.57,1.93"
1757275200.958371878,"1.58,1.93"
1757275201.056025743,"1.56,1.93"
1757275201.151865005,"1.50,1.93"
1757275201.255534649,"1.81,1.93"
1757275201.357850790,"1.12,1.93"
1757275201.457904339,"1.13,1.93"
1757275201.557213545,"1.70,1.92"
1757275201.660223722,"1.93,1.90"
1757275201.759341240,"2.00,0.00"
1757275201.857221127,"2.00,0.00"
1757275201.959269285,"2.00,0.00"
1757275202.058855772,"1.88,1.93"
1757275202.159999371,"1.92,1.93"
1757275202.259509087,"1.93,1.88"
1757275202.361162424,"1.93,1.91"
1757275202.458145380,"1.73,1.93"
1757275202.558239460,"1.93,1.49"
1757275202.656980991,"1.01,1.93"
1757275202.762878895,"1.71,1.92"
1757275202.858634472,"1.79,1.93"
1757275202.963514090,"1.69,1.92"
1757275203.059470654,"1.93,1.91"
1757275203.159192562,"1.93,1.93"
1757275203.257831335,"1.93,1.57"
1757275203.360336542,"1.93,1.93"
1757275203.458359003,"1.93,1.84"
1757275203.559244394,"1.93,1.87"
1757275203.659235954,"1.93,1.87"
1757275203.757246971,"1.93,1.83"
1757275203.856776714,"1.92,1.68"
1757275203.949961185,"2.00,0.68"
1757275204.056098223,"1.93,1.44"
1757275204.156955719,"1.95,0.67"
1757275204.259524584,"1.94,0.67"
1757275204.359262943,"1.93,1.07"
1757275204.459756374,"1.93,1.10"
1757275204.552689314,"1.92,1.63"
1757275204.658037663,"1.93,1.56"
1757275204.761243820,"1.93,1.19"
1757275204.857126713,"1.92,1.69"
1757275204.957501888,"1.93,1.46"
1757275205.049344778,"0.67,2.83"
1757275205.158911467,"1.93,1.58"
1757275205.259577274,"1.93,1.87"
1757275205.361193180,"1.93,1.93"
1757275205.452563286,"2.53,0.67"
1757275205.553984880,"2.43,0.67"
1757275205.654699326,"2.11,0.68"
1757275205.757265568,"1.94,0.67"
1757275205.856295824,"1.93,1.49"
1757275205.954903841,"1.99,0.68"
1757275206.057193279,"1.93,1.74"
1757275206.158235550,"1.92,1.72"
