ros_time_s,Vel_Des
1757276437.954670191,"2.00,0.00"
1757276438.054719687,"0.67,2.83"
1757276438.153098583,"0.67,2.83"
1757276438.264760256,"1.85,1.93"
1757276438.355319262,"0.67,2.83"
1757276438.461932898,"1.14,1.93"
1757276438.553882360,"0.67,2.83"
1757276438.663255453,"2.00,0.00"
1757276438.763122320,"2.00,0.00"
1757276438.860743284,"2.00,0.00"
1757276438.959995508,"1.92,1.65"
1757276439.053704262,"0.67,2.83"
1757276439.155339956,"0.68,2.12"
1757276439.253953457,"0.67,2.83"
1757276439.363196135,"1.93,1.93"
1757276439.453565121,"2.00,0.00"
1757276439.559823990,"2.00,0.00"
1757276439.655383110,"0.68,2.15"
1757276439.754360437,"0.67,2.83"
1757276439.854212523,"2.03,0.69"
1757276439.963729858,"1.92,1.66"
1757276440.055818319,"1.99,0.68"
1757276440.159912109,"1.93,1.17"
1757276440.253418446,"0.67,2.83"
1757276440.352473974,"0.67,2.83"
1757276440.452353716,"0.67,2.83"
1757276440.556856871,"0.68,2.00"
1757276440.654439688,"2.36,0.67"
1757276440.751275778,"2.00,0.00"
1757276440.853639126,"2.00,0.00"
1757276440.963030100,"1.77,1.93"
1757276441.058907986,"1.93,1.46"
1757276441.155210257,"2.83,0.67"
1757276441.252457142,"2.83,0.67"
1757276441.352209806,"2.83,0.67"
1757276441.457362175,"0.67,2.83"
1757276441.551575661,"0.67,2.83"
1757276441.654324532,"0.67,2.83"
1757276441.761138201,"1.80,1.93"
1757276441.855849743,"0.67,2.83"
1757276441.958002090,"1.93,1.55"
1757276442.060728788,"1.93,1.38"
1757276442.154062748,"2.83,0.67"
1757276442.254316330,"2.83,0.67"
1757276442.355537891,"2.83,0.67"
1757276442.462495565,"1.93,1.85"
1757276442.554997921,"0.67,2.83"
1757276442.653288364,"0.67,2.83"
1757276442.752356052,"2.83,0.67"
1757276442.856041193,"2.83,0.67"
1757276442.957415104,"0.68,2.12"
1757276443.061760664,"1.29,1.93"
1757276443.154407501,"2.83,0.67"
1757276443.257822514,"2.58,0.67"
1757276443.362442255,"1.93,1.78"
1757276443.455674410,"2.83,0.67"
1757276443.554844618,"2.83,0.67"
1757276443.656962633,"2.83,0.67"
1757276443.754358292,"2.83,0.67"
1757276443.857538462,"0.67,2.83"
1757276443.954490662,"0.67,2.83"
1757276444.055806637,"2.83,0.67"
1757276444.158744335,"1.97,0.67"
1757276444.265261412,"1.93,1.51"
1757276444.356269598,"0.67,2.83"
1757276444.455482483,"2.83,0.67"
1757276444.555775881,"2.83,0.67"
1757276444.657588482,"2.83,0.67"
1757276444.755620956,"2.83,0.67"
1757276444.855176687,"2.83,0.67"
1757276444.954929829,"2.83,0.67"
1757276445.057055235,"2.83,0.67"
1757276445.154346466,"2.83,0.67"
1757276445.258969784,"2.83,0.67"
1757276445.355449677,"2.83,0.67"
1757276445.455330849,"2.83,0.67"
1757276445.554415703,"2.83,0.67"
1757276445.657043934,"2.83,0.67"
1757276445.756989717,"2.83,0.67"
1757276445.857912540,"2.83,0.67"
1757276445.954475164,"2.83,0.67"
1757276446.057170868,"2.83,0.67"
1757276446.156481981,"2.83,0.67"
1757276446.257207632,"2.83,0.67"
1757276446.365990162,"1.84,1.93"
1757276446.465463638,"1.96,0.67"
1757276446.562622309,"1.93,1.88"
1757276446.660316467,"2.83,0.67"
1757276446.755683422,"2.83,0.67"
1757276446.859033585,"2.83,0.67"
1757276446.954059839,"2.83,0.67"
1757276447.057484627,"2.83,0.67"
1757276447.157690525,"2.83,0.67"
1757276447.256986618,"2.83,0.67"
1757276447.358718395,"2.83,0.67"
1757276447.460482121,"2.83,0.67"
1757276447.558105707,"2.83,0.67"
1757276447.659921885,"2.83,0.67"
1757276447.766005278,"1.93,1.92"
1757276447.865496397,"1.93,1.82"
1757276447.953958035,"2.83,0.67"
1757276448.067178011,"1.93,1.76"
1757276448.157581568,"2.83,0.67"
1757276448.258194685,"0.67,2.83"
1757276448.360960245,"2.20,0.67"
1757276448.467745781,"1.95,0.67"
1757276448.559525490,"2.83,0.67"
1757276448.660531044,"0.00,2.00"
1757276448.663190126,"2.83,0.67"
1757276448.757298470,"0.00,2.00"
1757276448.759854317,"2.83,0.67"
1757276448.858724356,"0.00,2.00"
1757276448.861299038,"2.83,0.67"
1757276448.964250803,"0.00,2.00"
1757276448.967066288,"1.54,1.93"
1757276449.065846682,"0.00,2.00"
1757276449.068472147,"1.93,1.52"
1757276449.160991907,"0.00,2.00"
